M, N, B, ALGO_NAME, RESULT, RUNNING_TIME
3, 6, 5.000000, PDP, 9.000000, 0.000171
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 6.000000, 0.000216
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 3.000000, 0.000137
3, 6, 5.000000, TABU, 1.000000, 0.063000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 11.000000, 0.000202
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 4.000000, 0.000180
3, 6, 5.000000, TABU, 1.250000, 0.032000
3, 6, 5.000000, TABU-RAND, 1.250000, 0.000000
3, 6, 5.000000, PDP, 8.000000, 0.000138
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 9.000000, 0.000153
3, 6, 5.000000, TABU, 1.000000, 0.047000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 7.000000, 0.000200
3, 6, 7.000000, TABU, 1.000000, 0.015000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 10.000000, 0.000192
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 12.000000, 0.000361
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 7.000000, 0.000194
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 8.000000, 0.000186
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 8.000000, 0.000145
3, 6, 7.000000, TABU, 1.000000, 0.125000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 2.000000, 0.000187
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 12.000000, 0.000248
3, 6, 7.000000, TABU, 1.000000, 0.047000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 9.000000, 0.000241
3, 6, 7.000000, TABU, 1.000000, 0.016000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 7.000000, PDP, 3.000000, 0.000171
3, 6, 7.000000, TABU, 1.000000, 0.031000
3, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 0.000000, 0.001257
3, 8, 3.000000, TABU, -nan(ind), 0.031000
3, 8, 3.000000, TABU-RAND, -nan(ind), 0.000000
3, 8, 3.000000, PDP, 0.000000, 0.001261
3, 8, 3.000000, TABU, -nan(ind), 0.047000
3, 8, 3.000000, TABU-RAND, -nan(ind), 0.000000
3, 8, 3.000000, PDP, 10.000000, 0.001938
3, 8, 3.000000, TABU, 1.000000, 0.047000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 8.000000, 0.002452
3, 8, 3.000000, TABU, 1.000000, 0.046000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 9.000000, 0.001278
3, 8, 3.000000, TABU, 1.111111, 0.047000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 2.000000, 0.001490
3, 8, 3.000000, TABU, 1.000000, 0.031000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 9.000000, 0.001865
3, 8, 3.000000, TABU, 1.000000, 0.062000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 8.000000, 0.001850
3, 8, 3.000000, TABU, 1.000000, 0.078000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 6.000000, 0.001498
3, 8, 3.000000, TABU, 1.000000, 0.046000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 3.000000, PDP, 13.000000, 0.002970
3, 8, 3.000000, TABU, 1.000000, 0.047000
3, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 5.000000, PDP, 9.000000, 0.001629
3, 8, 5.000000, TABU, 1.000000, 0.032000
3, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 5.000000, PDP, 14.000000, 0.001561
3, 8, 5.000000, TABU, 1.000000, 0.031000
3, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 8, 5.000000, PDP, 8.000000, 0.001835
3, 8, 5.000000, TABU, 1.000000, 0.032000
